CustomerID,total_spent,avg_spent,purchase_count,CustomerName,Region,SignupDate,Cluster
C0001,3354.5200000000004,670.9040000000001,5,Lawrence Carroll,3,2022-07-10,1
C0002,1862.74,465.685,4,Elizabeth Lutz,0,2022-02-13,9
C0003,2725.38,681.345,4,Michael Rivera,3,2024-03-07,1
C0004,5354.88,669.36,8,Kathleen Rodriguez,3,2022-10-09,4
C0005,2034.24,678.08,3,Laura Weber,0,2022-08-15,9
C0006,4227.57,1056.8925,4,Brittany Palmer,3,2024-01-07,3
C0007,2579.8199999999997,859.9399999999999,3,Paul Graves,0,2022-06-18,7
C0008,4271.61,427.16099999999994,10,David Li,2,2024-01-13,5
C0009,896.5,298.8333333333333,3,Joy Clark,1,2023-08-14,6
C0010,1717.5500000000002,429.38750000000005,4,Aaron Cox,1,2022-12-15,9
C0011,3730.0,746.0,5,Bryan Mathews,3,2022-12-12,1
C0012,5231.259999999999,747.3228571428571,7,Kevin May,3,2024-08-07,4
C0013,6000.56,857.2228571428572,7,Lauren Buchanan,3,2024-05-19,4
C0014,318.66,318.66,1,Deborah Wilcox,1,2024-06-22,6
C0015,1157.48,578.74,2,Tina Duran,2,2023-11-20,2
C0016,3874.42,774.884,5,Emily Woods,2,2024-01-03,1
C0017,4753.82,594.2275,8,Jennifer King,1,2023-12-05,0
C0018,4781.85,956.3700000000001,5,Tyler Haynes,2,2024-09-21,3
C0019,2185.8199999999997,364.3033333333333,6,Brandon Rodriguez,1,2023-01-12,5
C0020,922.41,922.41,1,Mr. Manuel Conway,2,2024-06-11,2
C0021,5419.92,677.49,8,Robert Blanchard,0,2023-04-17,0
C0022,4655.07,775.8449999999999,6,Teresa Esparza,0,2023-10-27,8
C0023,5158.65,859.775,6,Nicholas Cain,1,2022-03-04,8
C0024,3627.02,518.1457142857142,7,Michele Cooley,2,2024-02-05,5
C0025,1589.81,397.4525,4,Gregory Odom,3,2022-07-04,2
C0026,3549.05,887.2625,4,Sara Miller,2,2024-05-03,3
C0027,2562.94,640.735,4,Justin Heath,0,2022-11-09,9
C0028,6819.57,852.44625,8,Jennifer Pena,0,2024-06-29,0
C0029,1785.8700000000001,446.46750000000003,4,Erin Manning,2,2022-04-16,2
C0030,2549.6800000000003,509.93600000000004,5,Mark Brock,2,2024-01-30,5
C0031,2005.38,501.345,4,Tina Miller,3,2024-04-11,2
C0032,673.0,224.33333333333334,3,Dustin Campbell,3,2024-04-17,6
C0033,132.64,132.64,1,Tyler Holt,2,2024-08-04,6
C0034,3073.2000000000003,512.2,6,Dalton Perez,2,2023-09-27,5
C0035,2587.61,646.9025,4,Brianna Richardson,2,2024-10-01,2
C0036,1877.96,625.9866666666667,3,Brian Aguilar DDS,2,2024-07-06,2
